PosterURL,Title,Genre
https://a.ltrbxd.com/resized/sm/upload/5b/u9/av/il/ecoY7zJL6Ub3URP1oPhPfGflEjV-0-125-0-187-crop.jpg?v=8126850315,American Psycho (2000),thriller
https://a.ltrbxd.com/resized/film-poster/5/1/7/6/9/51769-barton-fink-0-125-0-187-crop.jpg?v=51c9ebe541,Barton Fink (1991),thriller
https://a.ltrbxd.com/resized/sm/upload/yt/ae/iz/kj/bIjkE9Og0nulRycj144sCcQcsZ6-0-125-0-187-crop.jpg?v=a571e4c644,Black Swan (2010),thriller
https://a.ltrbxd.com/resized/sm/upload/ye/jq/f3/22/nmb4QhCRmdfNP6rgb81yUFgI83l-0-125-0-187-crop.jpg?v=caa3999c6f,Donnie Darko (2001),thriller
https://a.ltrbxd.com/resized/sm/upload/sj/00/0d/n1/aQkyFHzNzZoMhxZ7c0IaK8BljED-0-125-0-187-crop.jpg?v=338dcff82c,Enemy (2013),thriller
https://a.ltrbxd.com/resized/film-poster/5/1/5/6/8/51568-fight-club-0-125-0-187-crop.jpg?v=768b32dfa4,Fight Club (1999),thriller
https://a.ltrbxd.com/resized/film-poster/3/5/3/1/1/7/353117-get-out-0-125-0-187-crop.jpg?v=136acec030,Get Out (2017),thriller
https://a.ltrbxd.com/resized/film-poster/4/3/0/8/0/6/430806-i-m-thinking-of-ending-things-0-125-0-187-crop.jpg?v=16bd3ec573,I'm Thinking of Ending Things (2020),thriller
https://a.ltrbxd.com/resized/film-poster/5/0/3/5/8/50358-jacob-s-ladder-0-125-0-187-crop.jpg?v=f2a3a739d6,Jacob's Ladder (1990),thriller
https://a.ltrbxd.com/resized/sm/upload/25/5e/r1/3t/z6yhgEzGUJaBBgAxoyggRzwLnVM-0-125-0-187-crop.jpg?v=49d0ffd43f,Lost Highway (1997),thriller
https://a.ltrbxd.com/resized/sm/upload/v1/3q/s4/aa/memento-0-125-0-187-crop.jpg?v=80f0732247,Memento (2000),thriller
https://a.ltrbxd.com/resized/sm/upload/kv/7n/p8/tv/fMC8JBWx2VjsJ53JopAcFjqmlYv-0-125-0-187-crop.jpg?v=3d69c00608,Mulholland Drive (2001),thriller
